symbol,effective_date,name,fund_type,inception_date,aum_cny,shares,fund_manager_company,custodian,management_fee_pct,custodian_fee_pct,sales_service_fee_pct,benchmark,tracking_index,source,available_at,ingested_at_utc,source_priority
159501,2026-09-08,嘉实纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-05-31,,6424990000.0,嘉实基金,招商银行,0.5,0.1,,经估值汇率调整后的纳斯达克100指数收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:42+00:00,2026-09-08T02:22:42+00:00,10
159513,2026-09-08,大成纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-07-12,,4297550000.0,大成基金,农业银行,0.8,0.2,,纳斯达克100指数收益率(经汇率调整),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:43+00:00,2026-09-08T02:22:43+00:00,10
159632,2026-09-08,华安纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2022-07-21,,4839720000.0,华安基金,建设银行,0.6,0.2,,纳斯达克100指数收益率(经汇率调整),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:44+00:00,2026-09-08T02:22:44+00:00,10
159659,2026-09-08,招商纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-04-12,,4475740000.0,招商基金,中国银行,0.5,0.15,,纳斯达克100指数收益率(经汇率调整后),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:45+00:00,2026-09-08T02:22:45+00:00,10
159660,2026-09-08,汇添富纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-03-30,,2185150000.0,汇添富基金,建设银行,0.5,0.15,,经人民币汇率调整的纳斯达克100指数收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:46+00:00,2026-09-08T02:22:46+00:00,10
159696,2026-09-08,易方达纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-08-17,,2617820000.0,易方达基金,建设银行,0.5,0.1,,纳斯达克100指数收益率(使用估值汇率折算),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:46+00:00,2026-09-08T02:22:46+00:00,10
159941,2026-09-08,广发纳斯达克100交易型开放式指数证券投资基金,指数型-海外股票,2015-06-10,,22485110000.0,广发基金,中国银行,0.8,0.2,,汇率调整后的纳斯达克100指数(Nasdaq-100 Index)收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:41+00:00,2026-09-08T02:22:41+00:00,10
513100,2026-09-08,纳斯达克100交易型开放式指数证券投资基金,指数型-海外股票,2013-04-25,,9465110000.0,国泰基金,建设银行,0.6,0.2,,纳斯达克100指数(Nasdaq-100 Index)收益率(经汇率调整后的总收益指数收益率),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:47+00:00,2026-09-08T02:22:47+00:00,10
513110,2026-09-08,华泰柏瑞纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-03-01,,2158440000.0,华泰柏瑞基金,交通银行,0.8,0.2,,纳斯达克100指数收益率(使用估值汇率折算),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:48+00:00,2026-09-08T02:22:48+00:00,10
513300,2026-09-08,华夏纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2020-10-22,,5192920000.0,华夏基金,工商银行,0.6,0.2,,纳斯达克100指数收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:49+00:00,2026-09-08T02:22:49+00:00,10
513390,2026-09-08,博时纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-04-19,,1842380000.0,博时基金,中信银行,0.5,0.15,,纳斯达克100指数收益率(经估值汇率调整),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:50+00:00,2026-09-08T02:22:50+00:00,10
513870,2026-09-08,富国纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-10-25,,1261670000.0,富国基金,招商银行,0.5,0.1,,纳斯达克100指数收益率(经汇率调整后),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:22:51+00:00,2026-09-08T02:22:51+00:00,10
