symbol,date,previous_trading_day,creation_allowed,redemption_allowed,creation_unit,nav,nav_per_creation_unit,cash_component,estimated_cash_component,cash_substitution_limit_pct,creation_limit,redemption_limit,net_creation_limit,net_redemption_limit,net_creation_limit_per_account,net_redemption_limit_per_account,publish_iopv,component_count,max_creation_cash_premium_pct,max_redemption_cash_discount_pct,available_at,availability_method,availability_verified,pit_verified,source,source_url,document_url,source_priority,ingested_at_utc
159501,2026-09-08,2026-09-04,True,True,1000000.0,1.875,1875030.41,-12328.94,-12328.94,100.0,0.0,150000000.0,1000000.0,0.0,1000000.0,0.0,True,103,10.0,,2026-09-08T09:15:00+08:00,szse_before_open_rule_conservative_09:15_cn,False,True,szse:official_pcf,https://www.szse.cn/disclosure/fund/currency/index.html?txtJCorDH=159501,https://reportdocs.static.szse.cn/files/text/ETFDown/pcf_159501_20260908.xml,5,2026-09-08T01:23:17+00:00
159513,2026-09-08,2026-09-04,True,True,1000000.0,1.6669,1666930.37,-19452.74,-18574.2,100.0,15000000.0,70000000.0,0.0,0.0,0.0,0.0,True,103,10.0,,2026-09-08T09:15:00+08:00,szse_before_open_rule_conservative_09:15_cn,False,True,szse:official_pcf,https://www.szse.cn/disclosure/fund/currency/index.html?txtJCorDH=159513,https://reportdocs.static.szse.cn/files/text/ETFDown/pcf_159513_20260908.xml,5,2026-09-08T01:23:40+00:00
159632,2026-09-08,2026-09-04,True,True,1000000.0,2.2671,2267065.39,-9346.89,-9346.89,100.0,4000000.0,500000000.0,0.0,0.0,0.0,0.0,True,103,10.0,,2026-09-08T09:15:00+08:00,szse_before_open_rule_conservative_09:15_cn,False,True,szse:official_pcf,https://www.szse.cn/disclosure/fund/currency/index.html?txtJCorDH=159632,https://reportdocs.static.szse.cn/files/text/ETFDown/pcf_159632_20260908.xml,5,2026-09-08T01:24:05+00:00
159659,2026-09-08,2026-09-04,True,True,1000000.0,2.1565,2156452.25,-683.49,-683.49,100.0,2000000.0,300000000.0,0.0,0.0,0.0,0.0,True,103,10.0,,2026-09-08T09:15:00+08:00,szse_before_open_rule_conservative_09:15_cn,False,True,szse:official_pcf,https://www.szse.cn/disclosure/fund/currency/index.html?txtJCorDH=159659,https://reportdocs.static.szse.cn/files/text/ETFDown/pcf_159659_20260908.xml,5,2026-09-08T01:24:33+00:00
159660,2026-09-08,2026-09-04,True,True,1000000.0,2.1817,2181687.81,1264.34,1264.34,100.0,0.0,300000000.0,60000000.0,150000000.0,0.0,0.0,True,103,10.0,,2026-09-08T09:15:00+08:00,szse_before_open_rule_conservative_09:15_cn,False,True,szse:official_pcf,https://www.szse.cn/disclosure/fund/currency/index.html?txtJCorDH=159660,https://reportdocs.static.szse.cn/files/text/ETFDown/pcf_159660_20260908.xml,5,2026-09-08T01:24:59+00:00
159696,2026-09-08,2026-09-04,True,True,1000000.0,1.8583,1858340.86,536.17,536.17,100.0,0.0,0.0,15000000.0,100000000.0,1000000.0,0.0,True,103,10.0,,2026-09-08T09:15:00+08:00,szse_before_open_rule_conservative_09:15_cn,False,True,szse:official_pcf,https://www.szse.cn/disclosure/fund/currency/index.html?txtJCorDH=159696,https://reportdocs.static.szse.cn/files/text/ETFDown/pcf_159696_20260908.xml,5,2026-09-08T01:25:25+00:00
513100,2026-09-08,2026-09-04,True,True,1000000.0,1.9962,1996242.9,-3979.0,-3979.0,100.0,3000000.0,500000000.0,,,,,True,102,10.0,0.0,2026-09-08T08:30:00+08:00,sse_official_08:30_cn,True,True,sse:official_pcf,https://etf.sse.com.cn/fundlist/funddetail/?fundCode=513100,https://query.sse.com.cn/etfDownload/downloadETF2Bulletin.do?fundCode=513100,5,2026-09-08T01:25:49+00:00
513110,2026-09-08,2026-09-04,True,True,1000000.0,2.2921,2292078.28,-3310.41,-3310.41,100.0,1000000.0,30000000.0,,,,,True,102,10.0,0.0,2026-09-08T08:30:00+08:00,sse_official_08:30_cn,True,True,sse:official_pcf,https://etf.sse.com.cn/fundlist/funddetail/?fundCode=513110,https://query.sse.com.cn/etfDownload/downloadETF2Bulletin.do?fundCode=513110,5,2026-09-08T01:26:15+00:00
513300,2026-09-08,2026-09-04,True,True,750000.0,2.4685,1851352.14,470.88,488.7,100.0,,,3750000.0,100000000.0,,,True,101,10.0,0.0,2026-09-08T08:30:00+08:00,sse_official_08:30_cn,True,True,sse:official_pcf,https://etf.sse.com.cn/fundlist/funddetail/?fundCode=513300,https://query.sse.com.cn/etfDownload/downloadETF2Bulletin.do?fundCode=513300,5,2026-09-08T01:26:39+00:00
513390,2026-09-08,2026-09-04,True,True,1000000.0,2.241,2240980.02,3588.39,3588.39,100.0,1000000.0,100000000.0,,,,,True,102,4.0,0.0,2026-09-08T08:30:00+08:00,sse_official_08:30_cn,True,True,sse:official_pcf,https://etf.sse.com.cn/fundlist/funddetail/?fundCode=513390,https://query.sse.com.cn/etfDownload/downloadETF2Bulletin.do?fundCode=513390,5,2026-09-08T01:27:08+00:00
513870,2026-09-08,2026-09-04,True,True,1000000.0,1.901,1901009.2,-1239.71,-1239.71,100.0,1000000.0,15000000.0,,,,,True,102,10.0,0.0,2026-09-08T08:30:00+08:00,sse_official_08:30_cn,True,True,sse:official_pcf,https://etf.sse.com.cn/fundlist/funddetail/?fundCode=513870,https://query.sse.com.cn/etfDownload/downloadETF2Bulletin.do?fundCode=513870,5,2026-09-08T01:27:33+00:00
