symbol,date,open,high,low,close,preclose,volume,amount,turnover,pct_change,trade_status,source,source_priority,ingested_at_utc,is_tradable
159501,2023-09-04,1.067,1.072,1.067,1.072,,243181,25997591.7,0.36,0.37,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-05,1.072,1.072,1.068,1.068,,184937,19770533.4,0.27,-0.37,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-06,1.069,1.073,1.068,1.07,,248871,26643764.226,0.37,0.19,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-07,1.063,1.064,1.059,1.061,,184469,19582812.059,0.27,-0.84,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-08,1.057,1.064,1.055,1.064,,252465,26744015.4,0.37,0.28,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-11,1.063,1.063,1.056,1.061,,266757,28271922.0,0.39,-0.28,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-12,1.069,1.071,1.067,1.071,,128807,13768977.07,0.19,0.94,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-13,1.06,1.061,1.054,1.056,,211700,22373256.557,0.31,-1.4,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-14,1.059,1.066,1.059,1.066,,209396,22265306.0,0.31,0.95,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-15,1.07,1.072,1.068,1.07,,286955,30705831.44,0.42,0.38,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-18,1.052,1.053,1.049,1.051,,203189,21350617.0,0.3,-1.78,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-19,1.052,1.052,1.048,1.049,,259482,27248725.2,0.38,-0.19,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-20,1.046,1.048,1.046,1.047,,76683,8027998.5,0.11,-0.19,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-21,1.03,1.031,1.028,1.031,,139909,14407291.549,0.21,-1.53,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-22,1.014,1.019,1.013,1.018,,220166,22382885.314,0.32,-1.26,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-25,1.016,1.019,1.015,1.019,,247393,25166860.493,0.36,0.1,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-26,1.017,1.017,1.012,1.012,,198639,20165688.8,0.29,-0.69,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-27,1.005,1.008,1.002,1.008,,123270,12385595.0,0.18,-0.4,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-09-28,1.009,1.01,1.006,1.008,,143884,14501597.408,0.21,0.0,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-09,1.021,1.025,1.021,1.022,,174222,17820553.944,0.26,1.39,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-10,1.027,1.036,1.027,1.035,,193722,20034089.3,0.29,1.27,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-11,1.042,1.043,1.04,1.043,,107396,11189501.923,0.16,0.77,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-12,1.05,1.055,1.049,1.055,,130525,13738491.7,0.19,1.15,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-13,1.047,1.05,1.044,1.045,,143910,15062441.294,0.21,-0.95,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-16,1.038,1.038,1.034,1.036,,45452,4707900.38,0.07,-0.86,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-17,1.046,1.047,1.041,1.041,,140736,14666725.1,0.21,0.48,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-18,1.039,1.039,1.036,1.037,,71288,7396093.3,0.11,-0.38,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-19,1.032,1.032,1.021,1.023,,207537,21269812.0,0.31,-1.35,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-20,1.013,1.013,1.01,1.01,,212143,21457535.4,0.31,-1.27,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-23,1.003,1.006,1.002,1.004,,110123,11047422.124,0.16,-0.59,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-24,1.007,1.012,1.005,1.012,,140905,14193293.4,0.21,0.8,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-25,1.014,1.014,1.01,1.011,,121187,12270743.1,0.18,-0.1,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-26,0.982,0.983,0.979,0.982,,258469,25355366.3,0.38,-2.87,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-27,0.978,0.984,0.978,0.983,,196006,19236678.542,0.29,0.1,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-30,0.982,0.985,0.98,0.985,,151292,14861297.8,0.22,0.2,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-10-31,0.985,0.985,0.982,0.984,,178493,17561947.8,0.26,-0.1,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-01,0.988,0.996,0.988,0.994,,211810,21026590.6,0.31,1.02,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-02,1.011,1.016,1.011,1.016,,254681,25837056.0,0.38,2.21,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-03,1.026,1.029,1.023,1.023,,111462,11421071.2,0.16,0.69,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-06,1.034,1.039,1.034,1.039,,166396,17242482.536,0.25,1.56,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-07,1.039,1.04,1.035,1.038,,264307,27451210.52,0.39,-0.1,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-08,1.05,1.051,1.047,1.049,,188922,19824443.2,0.28,1.06,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
159501,2023-11-09,1.05,1.054,1.049,1.054,,100070,10523454.304,0.15,0.48,,akshare:eastmoney:fund_etf_hist_em,20,2026-09-08T02:41:01+00:00,True
