symbol,as_of_date,observed_at,execution_ready,next_session_eligible,states
159501,2026-09-08,2026-09-08 10:21:51+08:00,False,False,"[""NO_TRADING_ACTIVITY"", ""NO_ACTIVE_BOOK""]"
159513,2026-09-08,2026-09-08 10:22:03+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
159632,2026-09-08,2026-09-08 10:21:57+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
159659,2026-09-08,2026-09-08 10:22:03+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
159660,2026-09-08,2026-09-08 10:22:03+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
159696,2026-09-08,2026-09-08 10:21:42+08:00,False,False,"[""NO_TRADING_ACTIVITY"", ""NO_ACTIVE_BOOK""]"
159941,2026-09-08,2026-09-08 10:21:12+08:00,False,False,"[""NO_TRADING_ACTIVITY"", ""NO_ACTIVE_BOOK""]"
513100,2026-09-08,2026-09-08 08:30:25+08:00,False,False,"[""NO_CURRENT_PRICE"", ""NO_TRADING_ACTIVITY"", ""NO_ACTIVE_BOOK""]"
513110,2026-09-08,2026-09-08 10:21:58+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
513300,2026-09-08,2026-09-08 10:21:17+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
513390,2026-09-08,2026-09-08 10:21:59+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
513870,2026-09-08,2026-09-08 10:21:55+08:00,True,True,"[""EXECUTION_READY"", ""NEXT_SESSION_ELIGIBLE""]"
