factor_name,factor_date,value,open,high,low,volume,available_at,availability_method,availability_verified,pit_usable,source,source_priority,ingested_at_utc
NDX,2025-06-16,21937.5684,21783.0801,21979.7676,21783.0801,1143962911,2025-06-17T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-17,21719.0781,21858.8906,21896.416,21680.1738,1071964189,2025-06-18T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-18,21719.6895,21745.498,21862.9961,21660.5195,1128654585,2025-06-19T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-20,21626.3867,21834.4883,21902.9844,21552.8047,1858218406,2025-06-21T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-23,21856.3301,21632.7773,21871.8691,21532.3203,1251130446,2025-06-24T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-24,22190.5215,22053.3301,22220.6387,22045.6328,1299226062,2025-06-25T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-25,22237.7422,22279.6895,22329.2305,22175.0781,1183484878,2025-06-26T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-26,22447.291,22328.2402,22466.9883,22255.2734,1212650670,2025-06-27T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-27,22534.2031,22484.873,22603.2188,22382.7871,1709156137,2025-06-28T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-06-30,22679.0098,22632.9238,22721.502,22565.1055,1241936368,2025-07-01T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-01,22478.1348,22594.4766,22631.2578,22388.0938,1360559562,2025-07-02T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-02,22641.8867,22451.8125,22644.7188,22448.0684,1189967792,2025-07-03T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-03,22866.9707,22751.6406,22896.0098,22736.0781,757382784,2025-07-04T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-07,22685.5684,22754.377,22776.209,22587.4746,1040552011,2025-07-08T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-08,22702.25,22735.2598,22761.8027,22652.4395,1138289514,2025-07-09T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-09,22864.9062,22800.3633,22915.332,22733.6484,1060270059,2025-07-10T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-10,22829.2617,22890.4258,22907.0449,22716.4082,1041646710,2025-07-11T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-11,22780.5977,22757.9902,22837.377,22692.8047,1085865012,2025-07-12T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-14,22855.6328,22780.1914,22886.9375,22675.2793,1047237702,2025-07-15T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-15,22884.5879,23036.8652,23051.8652,22876.4668,1226222591,2025-07-16T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-16,22907.9668,22895.2969,22928.5547,22669.3691,1180915540,2025-07-17T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-17,23078.0352,22931.0156,23104.7168,22905.5098,1246706499,2025-07-18T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-18,23065.4746,23135.0879,23153.2129,23018.3574,1134835811,2025-07-19T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-21,23180.0625,23124.9668,23264.4512,23122.9336,974176175,2025-07-22T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-22,23063.5781,23182.0234,23186.3633,22953.8496,1105616187,2025-07-23T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-23,23162.4062,23100.25,23168.4941,23000.459,1132841560,2025-07-24T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-24,23219.8652,23228.7891,23268.4922,23150.2676,1267442557,2025-07-25T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-25,23272.2461,23204.6641,23326.2969,23193.9902,1243743527,2025-07-26T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-28,23356.2695,23343.1289,23386.7598,23299.8145,1105999017,2025-07-29T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-29,23308.3027,23477.8398,23510.918,23283.3965,1229040816,2025-07-30T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-30,23345.4141,23337.3262,23447.1484,23226.918,1217040054,2025-07-31T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-07-31,23218.123,23589.3691,23589.3691,23176.125,1531739925,2025-08-01T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-01,22763.3125,22941.0625,22972.4707,22673.875,1451411428,2025-08-02T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-04,23188.6074,22986.7715,23191.0449,22973.5977,1183403985,2025-08-05T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-05,23018.5605,23235.3145,23286.0469,23008.1367,1170105635,2025-08-06T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-06,23315.043,23070.9531,23330.4902,23042.2715,1234387424,2025-08-07T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-07,23389.5293,23483.4199,23560.7285,23225.7188,1329108137,2025-08-08T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-08,23611.2656,23458.1348,23619.2422,23437.6055,1254191265,2025-08-09T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-11,23526.6348,23629.0156,23697.9961,23484.252,1230442680,2025-08-12T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-12,23839.1973,23651.6074,23849.502,23524.2773,1176117199,2025-08-13T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-13,23849.0391,23935.0625,23969.2754,23789.1152,1213714086,2025-08-14T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-14,23832.4414,23775.0078,23908.2559,23748.9844,1174915697,2025-08-15T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-15,23712.0703,23808.9961,23813.9863,23651.207,1350655447,2025-08-16T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-18,23713.7578,23692.125,23733.498,23637.4082,1048758259,2025-08-19T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-19,23384.7695,23689.0137,23695.6445,23346.3359,1347108120,2025-08-20T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-20,23249.5703,23343.4121,23343.4121,22959.7012,1380770742,2025-08-21T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-21,23142.5801,23182.7578,23264.2695,23046.3867,906322858,2025-08-22T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-22,23498.1152,23184.9941,23575.3574,23140.043,1320628762,2025-08-23T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-25,23425.6055,23454.2773,23546.4473,23382.1934,1118107843,2025-08-26T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-26,23525.293,23420.8477,23532.5117,23369.0391,1173870514,2025-08-27T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-27,23565.8457,23499.6738,23591.0547,23434.3125,970624610,2025-08-28T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-28,23703.4512,23601.3457,23741.2324,23514.6973,1109303770,2025-08-29T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-08-29,23415.4199,23607.5391,23607.5391,23353.9609,1175507869,2025-08-30T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-02,23231.1074,23020.4688,23242.2812,22977.8848,1154728480,2025-09-03T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-03,23414.8398,23388.2773,23478.0078,23279.1191,1221459431,2025-09-04T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-04,23633.0117,23442.1895,23639.0371,23371.334,1081885991,2025-09-05T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-05,23652.4434,23841.9805,23860.252,23475.3262,1369439342,2025-09-06T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-08,23762.3008,23759.625,23851.8086,23725.0391,964752503,2025-09-09T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-09,23839.7969,23824.332,23852.418,23697.998,945557798,2025-09-10T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-10,23849.2695,23931.3242,23958.541,23760.0957,1295201627,2025-09-11T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-11,23992.5625,23956.5664,24016.5254,23883.0098,1380233929,2025-09-12T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-12,24092.1934,24030.7656,24137.0605,23983.6328,1316754550,2025-09-13T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-15,24293.7812,24178.6035,24297.3359,24173.1367,1226932568,2025-09-16T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-16,24274.25,24342.748,24343.3535,24244.2109,1109532695,2025-09-17T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-17,24223.6875,24286.4297,24292.0566,23999.7461,1201112663,2025-09-18T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-18,24454.8945,24421.2129,24554.5215,24347.541,1741468100,2025-09-19T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-19,24626.2461,24528.4414,24641.9258,24469.2773,1372521068,2025-09-20T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-22,24761.0742,24588.1797,24781.7305,24578.0938,1375773110,2025-09-23T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-23,24580.168,24752.7363,24764.3027,24536.502,1243302100,2025-09-24T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-24,24503.5664,24648.9727,24650.416,24388.5898,1190761821,2025-09-25T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-25,24397.3105,24321.7305,24460.6582,24186.3711,1414883370,2025-09-26T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-26,24503.8477,24410.9531,24510.3672,24297.6992,1218233603,2025-09-27T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-29,24611.3516,24629.0215,24741.7715,24560.2188,1226170476,2025-09-30T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-09-30,24679.9883,24597.3984,24691.2305,24505.1387,1039628331,2025-10-01T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-01,24800.8633,24539.25,24816.6738,24517.7578,1249652716,2025-10-02T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-02,24892.7637,24933.4863,24944.748,24780.1094,1179550297,2025-10-03T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-03,24785.5215,24931.4238,24958.2637,24713.582,1160364642,2025-10-04T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-06,24978.5586,24986.2598,25044.2598,24907.5977,1335777005,2025-10-07T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-07,24840.2266,25031.7832,25062.9609,24783.9512,1146091782,2025-10-08T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-08,25136.623,24887.3203,25142.1875,24882.3496,1154610675,2025-10-09T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-09,25098.1758,25124.793,25139.3516,24966.8086,1094927162,2025-10-10T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-10,24221.7461,25116.8262,25195.2773,24207.1523,1343719790,2025-10-11T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-13,24750.252,24625.7402,24779.6543,24540.418,1084547497,2025-10-14T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-14,24579.3164,24442.9258,24766.3691,24256.2812,1095353781,2025-10-15T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-15,24745.3574,24807.3398,24933.2285,24496.0742,1101597693,2025-10-16T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-16,24657.2422,24882.2168,24998.3047,24481.1738,1096254508,2025-10-17T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-17,24817.9531,24600.5449,24881.4688,24511.5898,1108600980,2025-10-18T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-20,25141.0176,24991.0996,25183.8125,24988.6719,952159592,2025-10-21T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-21,25127.1309,25139.8008,25178.2344,25043.0625,982609497,2025-10-22T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-22,24879.0059,25093.6426,25127.0625,24652.1055,1118238040,2025-10-23T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-23,25097.416,24869.5977,25126.7832,24856.3438,949148922,2025-10-24T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-24,25358.1621,25307.748,25418.6367,25288.7109,1127401601,2025-10-25T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-27,25821.5449,25701.9473,25839.0312,25656.3789,1270059161,2025-10-28T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-28,26012.1562,25932.6426,26087.4844,25864.4902,1366257553,2025-10-29T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-29,26119.8457,26147.7207,26182.1035,25907.4473,1417023110,2025-10-30T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-30,25734.8125,25953.7793,26031.6836,25732.3867,1390211730,2025-10-31T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-10-31,25858.127,26055.9688,26063.4863,25761.2793,1229405512,2025-11-01T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-03,25972.9434,26114.1094,26132.8672,25887.8828,1235570490,2025-11-04T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-04,25435.7031,25580.3418,25762.2344,25415.623,1353948199,2025-11-05T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-05,25620.0312,25433.2246,25750.8848,25364.9023,1237245340,2025-11-06T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-06,25130.041,25568.2383,25568.2383,25083.2363,1215542091,2025-11-07T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-07,25059.8086,24977.7344,25065.1387,24603.7812,1241981093,2025-11-08T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-10,25611.7363,25418.1719,25655.5137,25354.4375,1218934892,2025-11-11T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-11,25533.4863,25500.9277,25588.2598,25380.8574,863946455,2025-11-12T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-12,25517.3281,25662.1855,25663.1699,25389.7266,930806208,2025-11-13T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-13,24993.4629,25386.9512,25396.0137,24908.5957,1117506206,2025-11-14T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-14,25008.2422,24658.5508,25198.9336,24534.9004,1115318604,2025-11-15T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-17,24799.918,24890.1035,25166.1465,24649.3633,1209452177,2025-11-18T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-18,24503.0957,24651.7773,24735.125,24299.2949,1337551186,2025-11-19T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-19,24640.5156,24517.2715,24904.6621,24432.1934,1265282246,2025-11-20T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-20,24054.3789,25131.4883,25222.9473,24021.4375,1415062581,2025-11-21T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-21,24239.5742,24137.6641,24521.8379,23854.0312,1455295377,2025-11-22T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-24,24873.8535,24462.8691,24923.5938,24455.6504,1121836842,2025-11-25T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-25,25018.3594,24790.0684,25069.543,24542.7148,1350395809,2025-11-26T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-26,25236.9395,25168.3066,25309.1484,25077.8613,1066237561,2025-11-27T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-11-28,25434.8887,25310.2852,25435.7734,25280.957,668412922,2025-11-29T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-12-01,25342.8496,25232.7539,25443.2051,25158.6328,1075802739,2025-12-02T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-12-02,25555.8574,25449.8691,25622.584,25369.3555,1233557829,2025-12-03T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
NDX,2025-12-03,25606.5449,25443.7051,25639.9922,25388.4375,990312749,2025-12-04T08:00:00+08:00,next_calendar_day_08_cn,False,True,akshare:sina:index_us_stock_sina,10,2026-09-08T01:28:07+00:00
