symbol,median_amount_20d,turnover_pct,bid_ask_spread_pct,amount_score,turnover_score,spread_score,liquidity_score,liquidity_coverage
159941,744458563.1145,0.0,,100.0,20.833333333333336,,76.7156862745098,0.85
159501,71366811.4,0.0,,8.333333333333332,20.833333333333336,,12.009803921568626,0.85
159513,182380245.0015,0.65,0.0549903766840742,66.66666666666666,79.16666666666666,12.5,61.66666666666666,1.0
159632,254558351.424,0.53,0.0402982067298139,75.0,66.66666666666666,75.0,72.91666666666666,1.0
159659,164334938.6,0.38,0.0422386483632477,50.0,41.66666666666667,37.5,46.04166666666667,1.0
159660,102955916.9605,1.87,0.0419375131054682,33.33333333333333,100.0,50.0,52.5,1.0
159696,72907341.63350001,0.0,,16.666666666666664,20.833333333333336,,17.892156862745097,0.85
513100,292857132.5,0.0,,83.33333333333334,20.833333333333336,,64.95098039215688,0.85
513110,170970921.5,0.51,0.0398803589232259,58.333333333333336,58.333333333333336,87.5,62.708333333333336,1.0
513300,351708357.5,0.5,0.0368799557440654,91.66666666666666,50.0,100.0,82.5,1.0
513390,120536906.5,0.67,0.040791352233322,41.66666666666667,91.66666666666666,62.5,57.29166666666667,1.0
513870,76865775.5,0.65,0.0480422772039341,25.0,79.16666666666666,25.0,38.541666666666664,1.0
