pair,symbol_i,symbol_j,date,common_nav_date,aligned_observations,d,median60,z,half_life,adf_p,kpss_p,stability_ratio,expected_convergence_5d,assumed_rotation_cost,cost_method,net_expected_convergence_5d,signal_count,adjusted_win_rate_5d,median_realized_net_alpha_5d,p25_realized_net_alpha_5d,regime,pair_liquidity_score,pair_score_coverage,pair_score,rotate_in,rotate_out,signal,gates,adf_fdr_q
159941-159696,159941,159696,2026-09-07,2026-09-03,300,0.01255502575553652,0.0059892564281346095,0.8134291892653736,2.107566496870404,0.0005949447403814577,0.0250011799408132,1.0,0.006288858999254975,0.0015,ASSUMED_COST,0.004788858999254976,8,0.5444444444444444,0.0008738382967535831,2.2301753217714073e-05,CAUTION,17.892156862745097,1.0,44.69259159800714,159696,159941,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.004898257055125924
159632-513300,159632,513300,2026-09-07,2026-09-03,300,-0.002526535702106064,-0.00523722631595783,0.7225572966025201,1.479298617292879,0.002332687733608738,0.1,1.0,0.0021563300802804547,0.0015,ASSUMED_COST,0.0006563300802804547,5,0.5277777777777778,0.002783731063484897,0.0015106635508331258,NORMAL,72.91666666666666,1.0,42.57490965232444,513300,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.009622336901136045
513100-513870,513100,513870,2026-09-07,2026-09-03,300,0.023415057874032447,0.01960064145420531,0.8604819456981077,2.431189629879171,0.0038367016624962134,0.01,1.0,0.003785234291407681,0.0015,ASSUMED_COST,0.002285234291407681,6,0.56,0.006790546221552509,0.0024934547399320397,NORMAL,38.541666666666664,1.0,42.5579688463302,513870,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.013445691746907169
159941-159513,159941,159513,2026-09-07,2026-09-03,300,0.022579302260660752,0.018158398586651005,0.7815370290421427,4.541876249032307,0.042600067781377954,0.01,1.0,0.004215564116579126,0.0015,ASSUMED_COST,0.0027155641165791263,8,0.5666666666666667,0.0056355654351383806,0.0026282326371972766,CAUTION,61.66666666666666,1.0,42.11319532027155,159513,159941,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.06694296365645107
159941-513100,159941,513100,2026-09-07,2026-09-03,300,-0.0036565642129905984,-0.005107628066541574,0.43057860371768464,2.168475090808892,0.0006545845781073693,0.01,1.0,0.0026868720150281166,0.0015,ASSUMED_COST,0.0011868720150281166,6,0.5,-8.959133580398269e-06,-0.002785267643437671,NORMAL,64.95098039215688,1.0,41.19577695979717,513100,159941,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.004898257055125924
159513-513100,159513,513100,2026-09-07,2026-09-03,300,-0.02623586647365135,-0.02403702415136747,-0.4059416290315021,3.1421431329215843,0.0013021875075807487,0.01,1.0,0.0032387108892574443,0.0015,ASSUMED_COST,0.0017387108892574442,5,0.5462962962962963,0.010661333438163391,0.008231984684839157,NORMAL,61.66666666666666,1.0,40.52796876980103,159513,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.006611105807717648
159659-513300,159659,513300,2026-09-07,2026-09-03,300,0.0005063719462984201,-0.0009902972583463177,0.6481477900558704,1.6269369945544498,0.003500610481277791,0.1,1.0,0.002014913541712514,0.0015,ASSUMED_COST,0.0005149135417125139,6,0.56,0.003456349071211563,0.0020721462840376805,NORMAL,46.04166666666667,1.0,39.757872376397955,513300,159659,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.013445691746907169
159696-513100,159696,513100,2026-09-07,2026-09-03,300,-0.016211589968527118,-0.011240897911876525,-0.8112763058470405,2.3000331008060217,0.00027427838996097034,0.1,1.0,0.003433048131717577,0.0015,ASSUMED_COST,0.001933048131717577,6,0.56,0.008891262359875975,0.003268525401185386,NORMAL,17.892156862745097,1.0,39.013293656189624,159696,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.0036204747474848087
513100-513390,513100,513390,2026-09-07,2026-09-03,300,0.02412254294474986,0.02317172591142279,0.21498887876582715,2.3700916308189455,0.015869749714168477,0.01,1.0,0.0025343325520156,0.0015,ASSUMED_COST,0.0010343325520156001,5,0.5277777777777778,0.008421880002561334,0.004436906825121824,NORMAL,57.29166666666667,1.0,38.921411611508816,513390,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.03273135878547248
513100-513300,513100,513300,2026-09-07,2026-09-03,300,0.021563811401018207,0.01991668316884803,0.3687824767111711,2.295681950764507,0.004152614559881311,0.06123972111949111,1.0,0.0024528323839593837,0.0015,ASSUMED_COST,0.0009528323839593836,3,0.5071428571428571,0.005881180223285489,-0.0007310014233723999,NORMAL,64.95098039215688,1.0,38.66770592448496,513300,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.013445691746907169
