pair,signal_date,entry_date,exit_date,rotate_in,rotate_out,z,half_life,adf_p,expected_convergence_5d,realized_relative_return_5d,realized_net_alpha_5d,mae_5d,mfe_5d,cost
159941-159501,2024-04-10,2024-04-11,2024-04-17,159501,159941,2.0223811135338243,6.094391960978957,0.10703356812424214,0.0045955230787603565,0.004683166871702782,0.003183166871702782,-0.0001376175483225328,0.004683166871702782,0.0015
159941-159501,2024-04-30,2024-05-06,2024-05-10,159941,159501,-5.407158006956708,6.47211142790328,0.1138334201730471,0.004751119178761561,-0.007063388735775833,-0.008563388735775833,-0.007063388735775833,-0.00395059432223599,0.0015
159941-159501,2024-07-01,2024-07-02,2024-07-08,159941,159501,3.1141427767414274,9.706329284634421,0.26576004556443716,0.0004765931154899865,0.00024169633644155475,-0.0012583036635584453,-0.005258887320371164,0.00024169633644155475,0.0015
159941-159501,2024-07-11,2024-07-12,2024-07-18,159941,159501,-2.921427969407825,9.020697607021576,0.3100209224752296,0.005070522916051038,0.0032292318210249693,0.0017292318210249693,-0.0022982821068554538,0.00970224155235866,0.0015
159941-159501,2024-07-23,2024-07-24,2024-07-30,159941,159501,-3.8337227462148387,8.467369328403102,0.26979795336891804,0.005029542531580404,0.014233116869425744,0.012733116869425744,0.004562082270340828,0.014233116869425744,0.0015
159941-159501,2024-12-10,2024-12-11,2024-12-17,159501,159941,2.637225823986328,4.335316807990732,0.10217948962897483,0.00537557863035832,-0.004959633884053627,-0.0064596338840536265,-0.015679064319446434,-0.0009891774705810263,0.0015
159941-159501,2025-01-06,2025-01-07,2025-01-13,159501,159941,2.9696519082378114,5.580402827121474,0.073240412937479,0.005376388579257221,-0.00401673308352668,-0.00551673308352668,-0.009545193203671865,-0.0022234778643510644,0.0015
159941-159501,2025-04-09,2025-04-10,2025-04-16,159501,159941,3.0224318626825033,9.098508806231349,0.2109478703057419,0.009533912232173133,0.02202541399390401,0.020525413993904007,0.006781424866930674,0.02202541399390401,0.0015
159941-159501,2025-06-05,2025-06-06,2025-06-12,159941,159501,-2.043228545068329,4.69699423321569,0.04103097362906085,0.006868053420357944,-0.0031675079686841467,-0.004667507968684146,-0.0031675079686841467,0.0008250553756030676,0.0015
159941-159501,2025-08-21,2025-08-22,2025-08-28,159941,159501,3.0719062624859115,12.092175789725946,0.8395431226723702,0.0009786472153858012,-0.0010154727851774403,-0.0025154727851774404,-0.0010154727851774403,0.004358830787472678,0.0015
159941-159501,2025-09-23,2025-09-24,2025-09-30,159501,159941,3.5978088694893775,12.44781445386235,0.1394247879167102,0.0004113769301027654,-0.0014564933120020385,-0.0029564933120020385,-0.0052429193422312,0.00364077669902918,0.0015
159941-159501,2025-10-15,2025-10-16,2025-10-22,159501,159941,2.954926379899877,14.176481909357289,0.0003359112064606033,0.0013553155526742963,-0.013557987553061368,-0.015057987553061368,-0.01426385135942998,0.004073108714539697,0.0015
159941-159501,2025-11-03,2025-11-04,2025-11-10,159941,159501,-2.669194064505655,4.986478799656533,0.07848076322216528,0.003806309699980736,0.010290448618368364,0.008790448618368365,0.0006402108929999262,0.010290448618368364,0.0015
