symbol,effective_date,name,fund_type,inception_date,aum_cny,shares,fund_manager_company,custodian,management_fee_pct,custodian_fee_pct,sales_service_fee_pct,benchmark,tracking_index,source,available_at,ingested_at_utc,source_priority,total_fee_pct,median_amount_20d,tracking_error_proxy,age_days,fee_score,liquidity_score,aum_score,tracking_score,stability_score,pqs_coverage,pqs,pqs_status
159941,2026-09-08,广发纳斯达克100交易型开放式指数证券投资基金,指数型-海外股票,2015-06-10,,22485110000.0,广发基金,中国银行,0.8,0.2,,汇率调整后的纳斯达克100指数(Nasdaq-100 Index)收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:26+00:00,2026-09-08T02:49:26+00:00,10,1.0,744458563.1145,0.025327620528275658,4108,16.66666666666668,100.0,,83.33333333333333,91.66666666666666,0.7999999999999999,68.75000000000001,COMPLETE
513100,2026-09-08,纳斯达克100交易型开放式指数证券投资基金,指数型-海外股票,2013-04-25,,9465110000.0,国泰基金,建设银行,0.6,0.2,,纳斯达克100指数(Nasdaq-100 Index)收益率(经汇率调整后的总收益指数收益率),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:33+00:00,2026-09-08T02:49:33+00:00,10,0.8,287870383.5,0.025431256835614282,4884,41.66666666666668,83.33333333333334,,66.66666666666666,100.0,0.7999999999999999,68.22916666666669,COMPLETE
513110,2026-09-08,华泰柏瑞纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-03-01,,2158440000.0,华泰柏瑞基金,交通银行,0.8,0.2,,纳斯达克100指数收益率(使用估值汇率折算),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:34+00:00,2026-09-08T02:49:34+00:00,10,1.0,170970921.5,0.025216278655943152,1287,16.66666666666668,58.333333333333336,,100.0,66.66666666666666,0.7999999999999999,56.770833333333336,COMPLETE
513870,2026-09-08,富国纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-10-25,,1261670000.0,富国基金,招商银行,0.5,0.1,,纳斯达克100指数收益率(经汇率调整后),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:38+00:00,2026-09-08T02:49:38+00:00,10,0.6,75392025.5,0.02538044188830088,1049,91.66666666666667,25.0,,75.0,8.333333333333332,0.7999999999999999,56.250000000000014,COMPLETE
513300,2026-09-08,华夏纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2020-10-22,,5192920000.0,华夏基金,工商银行,0.6,0.2,,纳斯达克100指数收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:35+00:00,2026-09-08T02:49:35+00:00,10,0.8,351708357.5,0.028305709629607916,2147,41.66666666666668,91.66666666666666,,8.333333333333334,83.33333333333334,0.7999999999999999,54.16666666666667,COMPLETE
159660,2026-09-08,汇添富纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-03-30,,2185150000.0,汇添富基金,建设银行,0.5,0.15,,经人民币汇率调整的纳斯达克100指数收益率,纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:31+00:00,2026-09-08T02:49:31+00:00,10,0.65,102955916.9605,0.0254904031763964,1258,66.66666666666666,33.33333333333333,,58.333333333333336,58.333333333333336,0.7999999999999999,53.12500000000001,COMPLETE
159632,2026-09-08,华安纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2022-07-21,,4839720000.0,华安基金,建设银行,0.6,0.2,,纳斯达克100指数收益率(经汇率调整),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:29+00:00,2026-09-08T02:49:29+00:00,10,0.8,254558351.424,0.025665972079398077,1510,41.66666666666668,75.0,,24.999999999999993,75.0,0.7999999999999999,52.08333333333334,COMPLETE
159513,2026-09-08,大成纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-07-12,,4297550000.0,大成基金,农业银行,0.8,0.2,,纳斯达克100指数收益率(经汇率调整),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:28+00:00,2026-09-08T02:49:28+00:00,10,1.0,182380245.0015,0.025323624327169336,1154,16.66666666666668,66.66666666666666,,91.66666666666667,25.0,0.7999999999999999,52.08333333333334,COMPLETE
159659,2026-09-08,招商纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-04-12,,4475740000.0,招商基金,中国银行,0.5,0.15,,纳斯达克100指数收益率(经汇率调整后),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:30+00:00,2026-09-08T02:49:30+00:00,10,0.65,164334938.6,0.025649841245063438,1245,66.66666666666666,50.0,,33.333333333333336,50.0,0.7999999999999999,51.041666666666664,COMPLETE
159696,2026-09-08,易方达纳斯达克100交易型开放式指数证券投资基金(QDII),指数型-海外股票,2023-08-17,,2617820000.0,易方达基金,建设银行,0.5,0.1,,纳斯达克100指数收益率(使用估值汇率折算),纳斯达克100指数,akshare:eastmoney:fund_overview_em,2026-09-08T02:49:32+00:00,2026-09-08T02:49:32+00:00,10,0.6,72907341.63350001,0.02558763144106139,1118,91.66666666666667,16.666666666666664,,50.0,16.666666666666664,0.7999999999999999,48.43750000000001,COMPLETE
